title,description,reviews,sentiment
Inception,A psychological thriller that keeps you guessing.,Fantastic storytelling and acting!,positive
Titanic,A gripping war drama with powerful performances.,Mind-blowing and unique!,positive
The Dark Knight,A mind-bending film that explores reality and illusion.,Mediocre acting and weak script.,negative
Interstellar,A classic story of good versus evil.,Not worth the watch.,negative
Avatar,An action-packed adventure with deep philosophical themes.,"Too much CGI, not enough substance.",negative
The Godfather,A visually stunning classic.,An emotional rollercoaster!,positive
Joker,A thought-provoking commentary on society.,Had potential but fell flat.,negative
Frozen,A musical animation about sisterhood.,Lacked originality and depth.,negative
The Lion King,A gripping war drama with powerful performances.,Timeless and emotional!,positive
The Matrix,A futuristic sci-fi masterpiece.,Visually stunning and engaging!,positive
Inception,A psychological thriller that keeps you guessing.,Fantastic storytelling and acting!,positive
Titanic,A gripping war drama with powerful performances.,Mind-blowing and unique!,positive
The Dark Knight,A mind-bending film that explores reality and illusion.,Mediocre acting and weak script.,negative
Interstellar,A classic story of good versus evil.,Not worth the watch.,negative
Avatar,An action-packed adventure with deep philosophical themes.,"Too much CGI, not enough substance.",negative
The Godfather,A visually stunning classic.,An emotional rollercoaster!,positive
Joker,A thought-provoking commentary on society.,Had potential but fell flat.,negative
Frozen,A musical animation about sisterhood.,Lacked originality and depth.,negative
The Lion King,A gripping war drama with powerful performances.,Timeless and emotional!,positive
The Matrix,A futuristic sci-fi masterpiece.,Visually stunning and engaging!,positive
Inception,A psychological thriller that keeps you guessing.,Fantastic storytelling and acting!,positive
Titanic,A gripping war drama with powerful performances.,Mind-blowing and unique!,positive
The Dark Knight,A mind-bending film that explores reality and illusion.,Mediocre acting and weak script.,negative
Interstellar,A classic story of good versus evil.,Not worth the watch.,negative
Avatar,An action-packed adventure with deep philosophical themes.,"Too much CGI, not enough substance.",negative
The Godfather,A visually stunning classic.,An emotional rollercoaster!,positive
Joker,A thought-provoking commentary on society.,Had potential but fell flat.,negative
Frozen,A musical animation about sisterhood.,Lacked originality and depth.,negative
